Product_Name,Sales,Profit,Quantity
"Samsung Smart Phone, Full Size",20993.024,1971.524,43
"Hewlett Fax Machine, High-Speed",20987.4368,1808.4868000000001,84
"Sharp Wireless Fax, Digital",20745.97784,2505.11784,76
"Fellowes Lockers, Blue",20563.680500000002,4529.6404999999995,122
"Brother Fax Machine, Laser",20547.31652,5651.47652,75
"Rogers Lockers, Single Width",20493.364,6755.184,114
"Sauder Classic Bookcase, Mobile",20057.4474,4388.6574,58
"Konica Inkjet, Wireless",19911.376,2522.836,76
"Belkin Router, Erganomic",19888.5312,1944.9712,99
GBC DocuBind TL300 Electric Binding System,19823.479,2233.5051000000003,37
"Hon Executive Leather Armchair, Red",19802.7716,-392.92840000000007,56
"Tenex Lockers, Wire Frame",19641.8904,2632.1504,128
"Memorex Router, USB",19606.818,628.998,99
"Canon Wireless Fax, High-Speed",19595.71504,1186.25504,63
"KitchenAid Stove, Black",19549.8842,1782.1942,50
"Hon Swivel Stool, Black",19536.6396,5186.1696,158
"Ikea Library with Doors, Mobile",19259.063000000002,763.663,67
"Eldon Lockers, Blue",19255.3236,-2181.0964,123
GBC Ibimaster 500 Manual ProClick Binding System,19024.5,760.9799999999998,48
"Bush Classic Bookcase, Mobile",19021.696,3672.576,55
Hewlett Packard LaserJet 3310 Copier,18839.686,6983.8836,38
"Sharp Fax Machine, Laser",18787.3749,167.54489999999993,77
"Smead Lockers, Wire Frame",18647.6641,-286.9259,112
"Brother Wireless Fax, Color",18479.8965,-585.3234999999999,65
"Breville Refrigerator, Red",18450.0638,2153.3838,44
"HP Designjet T520 Inkjet Large Format Printer - 24"" Color",18374.895,4094.9766,12
"Rogers Lockers, Industrial",18300.695,4411.335,104
"Tenex Lockers, Blue",18202.6945,1668.1945,114
"HP Fax Machine, Laser",18175.164240000002,5901.08424,70
"Hoover Refrigerator, White",18161.72,1678.08,39
"Ikea Library with Doors, Traditional",18108.935,1165.555,59
"Sharp Fax Machine, High-Speed",18014.5722,3713.1022,72
GBC DocuBind P400 Electric Binding System,17965.068,-1878.1662000000003,27
"Eldon Lockers, Industrial",17825.3415,6485.4615,109
"KitchenAid Refrigerator, Silver",17763.984,4858.014,46
"Dania Library with Doors, Pine",17708.5625,1751.0225,69
"Breville Refrigerator, White",17673.3254,3011.1254,41
"Dania Classic Bookcase, Metal",17612.112,2654.862,51
"HP Wireless Fax, Laser",17577.76772,-465.1422799999999,66
"Canon Fax Machine, Digital",17373.76688,187.16688000000005,72
"Konica Inkjet, White",17328.8514,4457.7214,62
"Memorex Router, Bluetooth",17318.4114,4923.2414,96
"Hamilton Beach Refrigerator, Red",17251.1508,2418.4408000000003,40
"Sharp Wireless Fax, Laser",17234.12096,4815.44096,63
"Brother Wireless Fax, Digital",17153.6247,2984.0247,54
"Tenex Lockers, Single Width",17129.3408,-88.57920000000001,100
"SAFCO Executive Leather Armchair, Set of Two",17106.7008,1656.3708,56
High Speed Automatic Electric Letter Opener,17030.311999999998,-262.00480000000005,11
"Brother Fax Machine, Digital",17009.47856,5197.36856,66
"Canon Copy Machine, Color",16956.27712,1625.59712,82
"Dania Library with Doors, Metal",16910.924,780.3039999999999,63
"Harbour Creations Swivel Stool, Red",16864.6356,610.4856,135
"Novimex Swivel Stool, Black",16836.5373,673.5373,127
Lexmark MX611dhe Monochrome Laser Printer,16829.901,-4589.973,18
"Bush Classic Bookcase, Pine",16754.414,6510.674,50
"Apple Smart Phone, with Caller ID",16754.023,3196.6229999999996,38
"Smead Lockers, Single Width",16714.1205,4540.6305,116
Martin Yale Chadless Opener Electric Letter Opener,16656.2,-1299.1836,22
"Bush Library with Doors, Mobile",16642.308,2660.9880000000003,60
"Ikea Classic Bookcase, Pine",16631.406,-1000.2540000000001,52
"Brother Fax Machine, Color",16477.47676,4148.356760000001,64
"Fellowes Lockers, Wire Frame",16473.472,4342.022,109
"Epson Inkjet, Wireless",16423.3476,-226.5324,67
"Cuisinart Stove, Red",16364.016,4101.456,40
"Safco Library with Doors, Mobile",16293.942,1014.0820000000001,57
"Hamilton Beach Stove, Black",16148.3578,-397.85220000000015,46
"Cuisinart Stove, Silver",16099.328,2550.998,41
"Sharp Fax Machine, Color",16067.02332,-133.66668000000004,65
"Sharp Wireless Fax, High-Speed",16026.76296,2109.34296,51
"Canon Wireless Fax, Digital",16016.9698,3068.5898,49
"Hoover Stove, Black",15893.628,1964.388,35
Ibico EPK-21 Electric Binding System,15875.916000000001,3345.2823,13
"Sauder Library with Doors, Traditional",15697.7229,-519.8471,47
"Sauder Stackable Bookrack, Pine",15642.1983,4272.8983,133
"StarTech Inkjet, Wireless",15639.1235,-66.3765,59
"Bush Stackable Bookrack, Pine",15633.668,2480.208,165
"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",15610.9656,-669.5448000000002,24
"Safco Stackable Bookrack, Pine",15582.401,2495.9410000000003,135
"Fellowes File Cart, Wire Frame",15555.0482,1062.1082000000001,145
"HP Fax Machine, High-Speed",15531.50392,165.9939199999999,67
"Bush Library with Doors, Traditional",15260.1504,-205.98960000000014,64
"HP Wireless Fax, Digital",15173.9149,3894.9049,51
"Sauder Library with Doors, Metal",15171.347399999999,3806.8674,51
"Dania Classic Bookcase, Traditional",15047.508,4543.898,56
"Hon Conference Table, Adjustable Height",15018.8742,-1570.5658,29
"Hamilton Beach Refrigerator, Silver",14972.9728,3016.5328,39
"Dania Library with Doors, Mobile",14971.4512,552.4012,56
"Eldon Lockers, Wire Frame",14952.7518,1573.0118,104
"Barricks Conference Table, Fully Assembled",14930.505000000001,1574.6550000000002,21
"Rogers Lockers, Wire Frame",14927.3865,-901.5735000000001,103
"Bevis Conference Table, Fully Assembled",14886.9507,-2443.0893,26
"Fellowes File Cart, Single Width",14811.2034,-1024.2066,138
"Dania Classic Bookcase, Mobile",14794.0464,807.8064,47
"KitchenAid Microwave, Silver",14728.1276,996.7676,59
"Hamilton Beach Refrigerator, Black",14692.0596,-458.19040000000007,37
"Hoover Microwave, White",14674.31,2620.5,58
"HP Copy Machine, Laser",14615.69756,2562.89756,74
"Breville Microwave, Red",14539.4049,-142.5050999999999,63
"Sharp Copy Machine, Laser",14449.48992,2998.52992,77
"Ikea Library with Doors, Metal",14360.3935,1221.0935,51
"3D Systems Cube Printer, 2nd Generation, Magenta",14299.89,3717.9714000000004,11
"Office Star Swivel Stool, Adjustable",14249.663,-1673.237,118
"Enermax Router, Erganomic",14231.1384,1689.8784,71
"Cuisinart Refrigerator, Black",14221.137,2151.797,39
"Hewlett Fax Machine, Laser",14146.43584,3664.0858399999997,58
"HP Fax Machine, Digital",14043.112079999999,-600.84792,58
"SanDisk Router, Bluetooth",14007.818500000001,4326.8785,81
"Rogers File Cart, Industrial",13953.736,105.29599999999999,126
"Sharp Fax Machine, Digital",13947.33414,-1455.74586,62
Samsung Galaxy Mega 6.3,13943.668,1822.7566,39
"Cisco Signal Booster, VoIP",13915.872,2082.292,110
"Chromcraft Computer Table, with Bottom Storage",13829.1036,70.02359999999999,43
"Chromcraft Conference Table, with Bottom Storage",13700.919,-1850.331,22
"Smead File Cart, Industrial",13666.04,2259.16,128
"Breville Microwave, White",13598.1975,2809.0275,57
"Hamilton Beach Refrigerator, White",13586.162,2404.552,37
"KitchenAid Stove, Red",13474.545,1223.6249999999998,31
"KitchenAid Refrigerator, White",13446.604800000001,1130.4648000000002,37
"Harbour Creations Swivel Stool, Set of Two",13355.563,2632.363,92
"Sauder Floating Shelf Set, Pine",13323.24,1471.05,95
"Breville Stove, Red",13140.036,2515.416,28
"Canon Copy Machine, Laser",13033.42604,1515.10604,64
"HP Wireless Fax, Color",13010.7204,1759.3104,47
Apple iPhone 5,12996.6,1611.5783999999999,24
Bretford Rectangular Conference Table Tops,12995.2915,-327.23310000000004,46
Global Troy Executive Leather Low-Back Tilter,12975.382,951.8620000000001,32
"Logitech Router, USB",12959.8457,2906.3557,67
"Hewlett Copy Machine, Laser",12926.23898,-573.58102,65
"Tenex Lockers, Industrial",12905.332,1329.892,86
"Cisco Audio Dock, Full Size",12898.1536,1278.5536,84
"Belkin Router, Bluetooth",12877.125,345.64500000000004,59
"Okidata Printer, White",12867.7311,-932.6889000000001,58
"Smead File Cart, Blue",12840.053100000001,-1380.9969,137
"Rogers File Cart, Blue",12833.793,144.26300000000003,114
"Eldon Lockers, Single Width",12826.512,1248.382,86
"Lesro Conference Table, with Bottom Storage",12777.942000000001,154.08200000000016,24
"Eldon File Cart, Industrial",12733.581,447.901,127
"KitchenAid Microwave, Red",12712.776,1879.136,47
"Hewlett Fax Machine, Color",12680.00864,2358.45864,46
"Brother Wireless Fax, High-Speed",12649.43952,1044.59952,47
"Dania Stackable Bookrack, Pine",12629.124,1939.784,126
"Enermax Router, Bluetooth",12577.2266,1180.1266,64
"Samsung Audio Dock, Cordless",12465.2584,2327.7784,89
"Cuisinart Stove, Black",12432.0864,2215.2264,32
"Ikea Floating Shelf Set, Traditional",12397.913,-1033.027,94
"SAFCO Swivel Stool, Set of Two",12395.505,2465.355,87
"Motorola Audio Dock, VoIP",12314.5036,864.9236,94
"HP Wireless Fax, High-Speed",12299.19756,2091.39756,45
"Logitech Router, Bluetooth",12264.5988,-1415.6412000000003,69
"Harbour Creations Swivel Stool, Adjustable",12236.696100000001,-75.75390000000002,97
"Canon Copy Machine, Digital",12183.76476,-861.7952399999999,58
"Sauder Library with Doors, Pine",12181.557,896.667,37
"Novimex Swivel Stool, Red",12153.594000000001,2660.734,100
"Nokia Audio Dock, VoIP",12043.4577,1522.0577,92
"Hoover Microwave, Red",12036.96,1258.44,43
"Apple Audio Dock, VoIP",12014.7676,1317.3475999999998,91
"Safco Library with Doors, Traditional",11997.7362,-1972.9038,47
"Sharp Copy Machine, High-Speed",11961.5412,875.5812,67
"HP Copy Machine, High-Speed",11946.65856,1113.74856,61
"Cuisinart Stove, White",11906.9579,106.88790000000006,27
"Office Star Swivel Stool, Red",11903.294,1265.404,84
"Panasonic Inkjet, Red",11874.815999999999,247.11599999999999,45
"Sauder Floating Shelf Set, Metal",11848.7292,2272.0692,73
"Hoover Refrigerator, Red",11761.911,3055.561,29
"Safco Library with Doors, Metal",11759.2425,-525.9374999999999,39
"Sauder Library with Doors, Mobile",11669.3865,662.6865,44
"Office Star Rocking Chair, Adjustable",11630.218,-949.152,127
"Safco Floating Shelf Set, Pine",11623.9212,486.8712,73
Canon PC1060 Personal Laser Copier,11619.834,4570.9347,19
"Hamilton Beach Microwave, White",11587.103,-692.657,50
SAFCO Arco Folding Chair,11572.78,1179.374,53
"Hewlett Fax and Copier, Laser",11536.06902,1410.26902,80
"Hamilton Beach Stove, Red",11515.686,3552.216,26
"Breville Stove, Silver",11511.9506,1084.8706,23
"Canon Copy Machine, High-Speed",11415.0412,1523.5412000000001,56
"Fellowes File Cart, Blue",11350.96,3073.74,104
"Okidata Inkjet, White",11329.5,-144.12,42
Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,11304.44,3247.02,40
"Breville Refrigerator, Silver",11285.736,3062.916,26
"KitchenAid Microwave, White",11246.4516,2784.6216,39
"Brother Fax and Copier, Color",11240.35904,1303.60904,73
"Bevis Computer Table, Fully Assembled",11177.8962,-3509.5638,43
"Bevis Wood Table, with Bottom Storage",11134.662,-2782.588,34
"Brother Ink, Color",11132.59404,2752.09404,92
Cubify CubeX 3D Printer Double Head Print,11099.963,-8879.9704,9
"Sauder Corner Shelving, Pine",11059.56,1232.96,91
"Hon Rocking Chair, Set of Two",11058.3272,-57.472799999999935,117
"Breville Refrigerator, Black",11058.234,2638.3640000000005,28
DMI Eclipse Executive Suite Bookcases,11046.609,90.17640000000002,27
"SanDisk Router, USB",11034.6456,3244.5356,56
"Lesro Conference Table, Rectangular",11002.93,860.6300000000001,23
"Canon Fax Machine, Laser",10926.72028,1869.96028,42
Tennsco 6- and 18-Compartment Lockers,10925.003999999999,1575.1098,43
"Lesro Conference Table, Adjustable Height",10919.079,163.029,20
"Sauder 3-Shelf Cabinet, Mobile",10835.004,2118.744,90
Plantronics CS510 - Over-the-Head monaural Wireless Headset System,10822.36,3085.0325000000003,35
"Cuisinart Refrigerator, Silver",10814.333,498.233,28
"Office Star Rocking Chair, Set of Two",10710.754,668.134,101
"Lesro Round Table, Rectangular",10707.497,585.457,38
"Cisco Signal Booster, with Caller ID",10693.3869,777.4869,94
"Apple Speaker Phone, VoIP",10687.6305,3268.3905,101
"Apple Signal Booster, Cordless",10642.455,13.814999999999984,102
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",10637.528,1927.442,51
"Barricks Computer Table, Fully Assembled",10620.2178,-1586.2722,41
"Canon Fax and Copier, Laser",10618.34952,3299.73952,65
"Brother Copy Machine, High-Speed",10602.81096,2271.94096,54
"Apple Audio Dock, with Caller ID",10581.9386,1218.3686,74
"Office Star Rocking Chair, Black",10579.4104,1653.6704,95
"Harbour Creations Rocking Chair, Black",10577.057,994.747,95
"Safco Floating Shelf Set, Traditional",10576.0866,3984.6166,66
"Novimex Swivel Stool, Adjustable",10527.867,554.427,77
"Enermax Memory Card, USB",10524.864,572.264,120
"Fellowes File Cart, Industrial",10517.97,-520.3299999999999,99
"Hon Rocking Chair, Black",10510.2981,2308.3281,116
"Logitech Router, Erganomic",10426.196,2136.516,50
"Epson Printer, Durable",10422.02,1979.8400000000001,46
"Panasonic Inkjet, White",10401.75,-12.629999999999995,42
"Harbour Creations Swivel Stool, Black",10365.25,860.35,86
"Breville Microwave, Silver",10317.9188,-1577.4212,49
"Hoover Stove, Silver",10316.1638,-2093.0862,26
"Epson Card Printer, Durable",10306.242,2101.302,69
"Canon Fax and Copier, Digital",10275.742559999999,2554.19256,65
"Enermax Router, USB",10233.0132,1866.3432,47
"Apple Signal Booster, with Caller ID",10212.31,-425.02000000000004,96
"Chromcraft Conference Table, Rectangular",10210.815999999999,-910.944,20
Logitech P710e Mobile Speakerphone,10196.604,1645.3611,41
"Okidata Printer, Wireless",10164.515,-186.425,48
"Motorola Signal Booster, Cordless",10150.9626,2527.8926,98
"Canon Fax Machine, Color",10114.94358,-1629.57642,50
"Brother Fax and Copier, Laser",10111.9486,641.0586000000001,69
"Office Star Swivel Stool, Set of Two",10107.433,-613.7270000000001,72
"SanDisk Router, Erganomic",9980.016,3001.626,41
Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,9917.64,-2876.1156,27
"Brother Ink, Laser",9888.249,-428.711,83
"Rubbermaid Frame, Duo Pack",9833.195,760.5350000000001,102
"Tenex File Cart, Blue",9773.328,1417.508,86
"Dania Floating Shelf Set, Metal",9772.4109,2310.4509,68
"Sharp Fax and Copier, Color",9740.11792,2548.77792,70
"Samsung Audio Dock, Full Size",9730.785600000001,1927.3956,67
"Breville Stove, Black",9723.48,2419.26,20
"Sauder Floating Shelf Set, Mobile",9710.46,2603.76,60
"Dania Corner Shelving, Traditional",9698.0546,1637.2646,89
"Sauder 3-Shelf Cabinet, Pine",9661.725,345.86499999999995,71
"Sharp Fax and Copier, Digital",9646.43296,3783.94296,66
Tennsco Double-Tier Lockers,9630.856,429.7882,47
"Motorola Audio Dock, Cordless",9623.3742,465.55420000000004,76
"Eldon File Cart, Blue",9619.336,210.85599999999997,86
"Cisco Audio Dock, with Caller ID",9610.2615,2488.8015,64
"Epson Inkjet, Durable",9597.519,2850.759,34
Bush Advantage Collection Racetrack Conference Table,9544.725,-1934.3976,33
"Memorex Router, Programmable",9474.9075,3189.6375,43
"Okidata Inkjet, Durable",9434.6769,-275.2431,33
"SanDisk Router, Programmable",9400.3515,147.8415,52
Plantronics Savi W720 Multi-Device Wireless Headset System,9367.289999999999,3696.2819999999997,24
"Panasonic Printer, Wireless",9313.8255,1726.0155,41
"Safco Floating Shelf Set, Mobile",9310.7556,1363.4456,61
Bady BDG101FRU Card Printer,9279.884,1327.9834,14
"StarTech Card Printer, White",9274.744499999999,714.2545,72
"Nokia Signal Booster, Cordless",9274.207,1629.7369999999999,76
"Sharp Personal Copier, Digital",9207.8932,2293.1032,92
Tennsco Single-Tier Lockers,9158.296,-825.7479999999999,28
"Konica Card Printer, Red",9125.4928,1836.7428,67
"Brother Fax and Copier, Digital",9101.10092,900.94092,58
"Hewlett Personal Copier, High-Speed",9090.15588,357.03587999999996,74
"Canon Personal Copier, High-Speed",9083.1132,-260.00679999999994,82
GuestStacker Chair with Chrome Finish Legs,9070.944,773.2608,31
"Bush Library with Doors, Pine",9028.3923,-1949.6277,41
"Motorola Speaker Phone, Full Size",9026.354,227.07399999999993,91
"Cisco Speaker Phone, Cordless",8996.125600000001,1244.2056,75
"Cisco Signal Booster, Cordless",8983.814400000001,-449.2356000000001,71
"Office Star Steel Folding Chair, Black",8962.5216,-566.4384,124
Canon Imageclass D680 Copier / Fax,8959.872,2799.96,16
"Hewlett Fax and Copier, High-Speed",8950.73784,2096.83784,58
"Ikea Floating Shelf Set, Pine",8919.8678,589.4578,68
"Cisco Audio Dock, VoIP",8913.696,2519.016,58
"Sharp Fax and Copier, High-Speed",8913.5696,-24.340400000000002,67
Hewlett Packard 610 Color Digital Copier / Printer,8899.822,3124.9375,21
Wilson Electronics DB Pro Signal Booster,8878.4,515.52,32
"SAFCO Rocking Chair, Black",8861.5872,78.89719999999997,88
"Apple Audio Dock, Full Size",8833.3742,944.4342,67
"Cisco Speaker Phone, with Caller ID",8826.2536,1176.4135999999999,81
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,8774.5,1305.6456,28
"Belkin Memory Card, Programmable",8750.389,1957.429,93
"Cuisinart Refrigerator, Red",8747.544,1678.284,23
"Canon Ink, Digital",8740.268039999999,1345.5980399999999,76
"Barricks Training Table, Adjustable Height",8701.3035,1758.9735,30
"SAFCO Rocking Chair, Set of Two",8695.944,1358.154,78
"Panasonic Inkjet, Durable",8695.048499999999,702.0885000000001,32
"Barricks Computer Table, with Bottom Storage",8672.542,41.471999999999994,24
Global Deluxe High-Back Manager's Chair,8665.194,1558.591,35
"KitchenAid Microwave, Black",8622.4075,1929.3474999999999,33
"Samsung Signal Booster, Full Size",8554.9944,2060.2044,75
"Samsung Signal Booster, Cordless",8523.0376,2096.1875999999997,79
"Okidata Card Printer, White",8505.816,2118.846,63
"Enermax Router, Programmable",8500.771499999999,1658.9715,42
"Panasonic Printer, White",8494.46,1532.36,40
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,8430.997,1388.6348,34
"HP Fax and Copier, Digital",8428.550580000001,2524.26058,60
"Konica Printer, White",8414.3875,2414.4975,35
"Samsung Speaker Phone, with Caller ID",8386.482,978.582,85
"Tenex File Cart, Industrial",8369.2649,388.75489999999996,82
"Nokia Signal Booster, VoIP",8327.437,1267.507,71
"Hamilton Beach Microwave, Red",8324.628,2158.428,37
"Hewlett Copy Machine, High-Speed",8314.56978,1189.92978,38
"Chromcraft Round Table, Adjustable Height",8312.690200000001,-1214.0498,31
"Safco Floating Shelf Set, Metal",8311.032,168.572,57
"Panasonic Printer, Durable",8300.458,1586.9579999999999,34
"Hon Rocking Chair, Adjustable",8266.131,1677.511,78
"Hon Swivel Stool, Adjustable",8264.3574,210.2174,63
"Canon Fax and Copier, High-Speed",8258.63688,987.14688,54
"Hon Rocking Chair, Red",8209.467,318.087,86
Chromcraft Round Conference Tables,8209.059,-189.97609999999997,61
"StarTech Inkjet, Durable",8207.9218,250.6218,33
"Epson Printer, White",8168.498799999999,-1129.4712,39
"Safco 3-Shelf Cabinet, Metal",8168.16,2140.29,60
"Nokia Signal Booster, with Caller ID",8164.975,68.09500000000006,76
"Hot File 7-Pocket, Floor Stand",8138.232,2016.711,49
"SAFCO Swivel Stool, Black",8111.0934,1051.3134,71
"Bevis Round Table, Rectangular",8107.7472,1299.4872,23
"Brother Copy Machine, Laser",8103.93958,1284.49958,38
"Cisco Audio Dock, Cordless",8102.5779999999995,-217.472,58
"Harbour Creations Rocking Chair, Adjustable",8074.827,927.6270000000001,73
Fellowes PB300 Plastic Comb Binding Machine,8070.192,2518.0551,27
"Brother Fax and Copier, High-Speed",8063.97482,1271.63482,48
"Bush Floating Shelf Set, Mobile",8055.7458,961.6758,57
"Chromcraft Conference Table, Fully Assembled",8042.088,996.408,12
"Samsung Speaker Phone, Full Size",8014.3357,1208.2857,78
"Panasonic Printer, Red",8005.868,-57.27200000000005,37
"Hewlett Ink, Laser",8004.13824,1230.63824,66
Cubify CubeX 3D Printer Triple Head Print,7999.98,-3839.9904,4
Ibico Ibimaster 300 Manual Binding System,7985.383,2318.337,28
Global Commerce Series High-Back Swivel/Tilt Chairs,7979.4400000000005,926.1850000000001,33
"Hoover Microwave, Black",7966.6902,1528.5802,32
"Ikea Stackable Bookrack, Mobile",7949.271,2703.631,86
"Brother Personal Copier, High-Speed",7945.90662,1654.91662,68
"Nokia Audio Dock, with Caller ID",7881.799800000001,1091.4198,55
"SAFCO Swivel Stool, Adjustable",7871.5936,2057.9836,57
"HP Ink, Laser",7847.0106,-78.62940000000006,81
"Harbour Creations Chairmat, Black",7839.6114,46.45139999999999,158
Okidata MB760 Printer,7834.4,881.37,7
"Dania Stackable Bookrack, Traditional",7829.9175,2436.3775,80
"Sharp Fax and Copier, Laser",7826.412,2720.872,55
"Hoover Refrigerator, Black",7815.258000000001,1371.928,18
"Cisco Signal Booster, Full Size",7807.5888,334.3788,58
"Hoover Refrigerator, Silver",7799.748,1886.4279999999999,19
"Boston Canvas, Fluorescent",7798.911,912.451,169
"Safco Corner Shelving, Traditional",7791.848,1424.808,71
"Sauder Stackable Bookrack, Mobile",7779.013,1255.963,60
"Cuisinart Microwave, Red",7769.034,1316.964,31
"Office Star Rocking Chair, Red",7730.3226,1307.7426,62
Adjustable Depth Letter/Legal Cart,7730.196,1932.549,45
"Hon Swivel Stool, Red",7706.8240000000005,867.454,62
Ativa V4110MDD Micro-Cut Shredder,7699.89,3772.9461,11
Mitel MiVoice 5330e IP Phone,7699.72,780.9716,34
"Bush Floating Shelf Set, Metal",7695.9393,464.94930000000005,58
"Logitech Router, Programmable",7695.1732,2324.8132,37
"Cuisinart Microwave, White",7666.43,43.029999999999994,32
"Samsung Audio Dock, with Caller ID",7661.9458,-2137.2242,67
"Motorola Audio Dock, with Caller ID",7660.0645,2336.6545,57
"Samsung Signal Booster, VoIP",7640.412,1139.822,69
"Bush Floating Shelf Set, Pine",7630.9548,747.7848000000001,58
"Nokia Audio Dock, Full Size",7602.2373,616.8873000000001,57
"Novimex Rocking Chair, Red",7596.654,-93.006,76
"Hon Conference Table, Rectangular",7588.2895,-1920.8505,19
