Region,Sub_Category,Sales,Profit,Quantity,Orders,Profit_Margin_%
West,Bookcases,36004.1235,-1646.5117,306,79,-4.573119798347542
Africa,Tables,34532.595,4010.685,87,37,11.614201017907863
East,Appliances,34188.466,8391.4134,474,119,24.544574184755756
Central Asia,Storage,33630.315,6137.875,508,128,18.251018463549922
South,Supplies,32654.162,3765.0713,1195,294,11.530142160745084
North,Binders,31730.837,5226.057,2010,478,16.46996264233433
West,Appliances,30236.336,8261.2699,492,134,27.322324702305202
West,Furnishings,30072.73,7641.2704,1175,281,25.409300718624483
Caribbean,Appliances,30064.584,5596.684,209,51,18.615537803549852
East,Furnishings,29071.38,5881.4071,1015,256,20.230918174507025
Oceania,Furnishings,28517.19,3861.6,728,173,13.541306138508036
Southeast Asia,Furnishings,28490.640900000002,1451.5509,787,184,5.094834142534153
EMEA,Furnishings,27733.359,1441.209,610,244,5.196662257896708
EMEA,Binders,26667.219,2909.739,1570,609,10.911295249797138
West,Paper,26663.718,12119.2364,1702,384,45.452162372854374
Oceania,Supplies,24087.804,2286.4139999999998,873,217,9.491998523402133
Caribbean,Tables,23661.308,63.38800000000015,108,25,0.2678972776991033
South,Envelopes,23655.468,4017.139,1342,320,16.981862290781987
North,Supplies,23324.939,4258.789,951,225,18.258521490667135
North,Furnishings,22731.489,-6324.521,975,246,-27.82273083826581
Africa,Binders,22312.944,2658.774,1443,529,11.915836834440134
North,Envelopes,22133.537,4989.437,1081,270,22.54242961710096
Central Asia,Furnishings,22018.188000000002,5366.928,468,127,24.374975815448572
North Asia,Furnishings,22011.963,5486.223,477,121,24.92382437677185
Africa,Furnishings,20622.258,2302.398,500,204,11.164626104474106
Caribbean,Accessories,20291.518,3345.938,379,99,16.489342985576535
East,Paper,20172.602,9015.371,1400,332,44.691165770285856
Oceania,Binders,19823.184,2728.464,1072,272,13.764004813757467
Oceania,Paper,19608.483,2692.683,832,222,13.732235175969501
Oceania,Art,19424.973,2254.983,767,205,11.608680228281399
Caribbean,Storage,18670.068,2616.148,433,111,14.012525289141958
Central,Fasteners,18320.236,3593.3546,1817,466,19.614128333281297
West,Supplies,18127.122,626.0464999999999,238,68,3.4536453166696837
North Asia,Supplies,17292.66,3343.7400000000002,563,147,19.33618078421712
North,Paper,17004.613,3836.533,872,215,22.561718987665287
Southeast Asia,Binders,16741.9707,2395.2507,1018,246,14.306862333715586
North Asia,Art,16440.555,4101.225,550,135,24.945781939843272
Southeast Asia,Art,16316.6919,-1189.7981,700,189,-7.291907620073404
Southeast Asia,Supplies,15725.3676,-4034.2224,762,182,-25.654232718858673
Oceania,Envelopes,15658.452,1261.572,708,182,8.056811746141955
Central,Labels,15648.077,3737.9944,2005,513,23.88788347603351
Central Asia,Paper,14719.515,3006.045,550,125,20.42217423603971
North Asia,Binders,14670.57,2906.79,746,185,19.813749568012696
Central Asia,Supplies,14549.28,2648.85,496,119,18.206055557388407
North Asia,Paper,14189.805,3031.935,544,136,21.366995529536876
EMEA,Supplies,14151.264,996.5640000000001,546,214,7.0422260513265815
North Asia,Envelopes,13852.41,3421.23,538,129,24.69772407833727
Africa,Paper,13499.487,2063.007,532,184,15.282114053667373
Africa,Supplies,13263.426,1037.946,548,208,7.825625143910781
Central Asia,Binders,12291.315,2767.125,705,172,22.512847486212824
Southeast Asia,Envelopes,11690.811599999999,-1641.1284,675,171,-14.03776278457862
Southeast Asia,Paper,11382.7764,-1859.0136,642,162,-16.331811630772258
Central Asia,Envelopes,10910.625,2182.095,423,110,19.999725038666437
Central Asia,Art,10825.86,2172.33,380,103,20.066119458407922
East,Supplies,10760.116,-1155.1352,195,55,-10.7353415149056
Canada,Storage,10587.3,2912.43,118,46,27.508713269672153
EMEA,Envelopes,10579.527,810.837,486,221,7.664208428221792
EMEA,Paper,10251.66,887.3399999999999,449,200,8.655573829018909
Caribbean,Furnishings,10165.612,-1205.488,385,90,-11.85848918884569
Canada,Phones,10085.61,2679.87,46,18,26.571223753446738
North,Fasteners,9985.417,1830.347,977,242,18.330200932019164
Africa,Envelopes,9687.981,1517.631,425,193,15.665090590082704
West,Art,9212.066,2374.097,926,227,25.77160215743135
South,Labels,9166.146,2258.6783,1201,300,24.641526547798822
South,Fasteners,9106.602,1479.2241,1068,288,16.24342537425046
Oceania,Fasteners,8848.5,774.36,733,201,8.751313781996949
Caribbean,Binders,8463.584,1145.204,688,157,13.530958043306473
Canada,Appliances,7940.429999999999,2233.98,30,15,28.134244618994188
Oceania,Labels,7551.6720000000005,1157.712,893,223,15.330538720431713
East,Art,7485.764,1899.9442999999999,849,209,25.380766746052906
Canada,Copiers,7465.53,2663.6400000000003,29,11,35.67918151825792
North Asia,Fasteners,7297.35,1480.23,569,132,20.284486834261752
Caribbean,Supplies,7224.976,1378.116,392,103,19.074333257300786
Caribbean,Paper,7185.604,1292.104,407,108,17.98184258414463
North,Labels,6992.385,1426.035,949,234,20.394114454510156
EMEA,Fasteners,6351.15,945.09,551,227,14.880612172598665
Caribbean,Envelopes,6341.28,993.88,382,103,15.673176393409532
Southeast Asia,Fasteners,6249.6579,-1602.3021,722,170,-25.638236934536852
Caribbean,Art,6083.808,963.528,318,79,15.837580673157339
Africa,Fasteners,5815.197,854.097,502,209,14.687327015748563
Canada,Bookcases,5734.0199999999995,1342.53,32,13,23.41341676520138
Central Asia,Fasteners,5701.68,1025.1,428,109,17.97891147872206
North Asia,Labels,5165.295,1299.765,540,142,25.163422418274273
Caribbean,Machines,5164.498,-2603.6620000000003,100,26,-50.41461919435346
Southeast Asia,Labels,5087.613,-870.357,838,187,-17.107374322693175
West,Labels,5078.726,2303.1223,480,112,45.348425963519205
Africa,Labels,4880.214,785.994,556,213,16.10572815044586
Central Asia,Labels,4518.465,896.085,496,117,19.831624235221472
Canada,Accessories,4473.21,1295.31,42,18,28.95705768340856
East,Envelopes,4375.874,1812.4089999999999,267,73,41.418217252142085
Canada,Machines,4274.46,607.8,25,13,14.219339986805348
Canada,Art,4119.54,913.35,129,54,22.17116474169446
West,Envelopes,4118.099999999999,1908.7624,227,66,46.35055972414464
EMEA,Labels,4093.383,390.873,511,200,9.548898795934806
Caribbean,Fasteners,3344.132,466.612,427,110,13.953157351444261
Canada,Chairs,3203.37,856.74,24,12,26.744959214826885
Canada,Binders,3089.34,786.18,132,57,25.448153974635357
East,Labels,2602.934,1129.28,420,100,43.384887976414305
Caribbean,Labels,2197.38,366.0,384,96,16.656199655953905
Canada,Paper,1519.53,373.86,54,17,24.6036603423427
Canada,Supplies,1309.56,297.09,41,15,22.686245761935307
West,Fasteners,923.216,275.1907,263,72,29.80783478622554
Canada,Tables,849.36,300.17999999999995,2,2,35.34190449279457
East,Fasteners,819.718,263.9908,298,60,32.205075403980395
Canada,Furnishings,808.53,113.79,20,15,14.073689287967053
Canada,Envelopes,567.1800000000001,171.18,25,10,30.18089495398286
Canada,Fasteners,479.46,140.13,35,18,29.226629958703544
Canada,Labels,421.74,129.33,49,23,30.66581306017926
